"id" "treatment"
"269" 606 "Akt knockout"
"270" 610 "E2"
"271" 612 "Both"
"272" 614 "E2"
"273" 614 "Akt knockout"
"274" 614 "Both"
"275" 615 "E2"
"276" 615 "Both"
"277" 620 "E2"
"278" 621 "Akt knockout"
"279" 621 "Both"
"280" 623 "E2"
"281" 623 "Both"
"282" 624 "E2"
"283" 624 "Akt knockout"
"284" 624 "Both"
"285" 625 "Both"
"286" 626 "E2"
"287" 630 "Both"
"288" 633 "E2"
"289" 640 "E2"
"290" 640 "Akt knockout"
"291" 640 "Both"
"292" 643 "Akt knockout"
"293" 643 "Both"
"294" 645 "Both"
"295" 651 "E2"
"296" 651 "Akt knockout"
"297" 654 "Both"
"298" 658 "E2"
"299" 658 "Akt knockout"
"300" 658 "Both"
"301" 661 "Both"
"302" 662 "Both"
"303" 677 "Akt knockout"
"304" 681 "Akt knockout"
"305" 681 "Both"
"306" 684 "E2"
"307" 684 "Both"
"308" 687 "E2"
"309" 687 "Both"
"310" 689 "Both"
"311" 696 "Akt knockout"
"312" 698 "E2"
"313" 698 "Both"
"314" 700 "E2"
"315" 701 "Both"
"316" 706 "Both"
"317" 712 "E2"
"318" 712 "Both"
"319" 713 "E2"
"320" 713 "Both"
"321" 714 "E2"
"322" 714 "Both"
"323" 719 "E2"
"324" 719 "Akt knockout"
"325" 719 "Both"
"326" 722 "Akt knockout"
"327" 727 "E2"
"328" 727 "Akt knockout"
"329" 729 "E2"
"330" 729 "Akt knockout"
"331" 729 "Both"
"332" 731 "E2"
"333" 731 "Akt knockout"
"334" 732 "Akt knockout"
"335" 734 "E2"
"336" 734 "Both"
"337" 741 "Both"
"338" 751 "E2"
"339" 751 "Both"
"340" 752 "Both"
"341" 754 "E2"
"342" 754 "Both"
"343" 755 "Akt knockout"
"344" 764 "Akt knockout"
"345" 766 "E2"
"346" 766 "Both"
"347" 769 "E2"
"348" 769 "Both"
"349" 784 "E2"
"350" 784 "Akt knockout"
"351" 784 "Both"
"352" 785 "E2"
"353" 785 "Akt knockout"
"354" 785 "Both"
"355" 786 "Akt knockout"
"356" 787 "Both"
"357" 793 "Akt knockout"
"358" 795 "E2"
"359" 795 "Both"
"360" 800 "E2"
"361" 800 "Both"
"362" 801 "E2"
"363" 801 "Both"
"364" 802 "E2"
"365" 802 "Akt knockout"
"366" 802 "Both"
"367" 803 "E2"
"368" 815 "E2"
"369" 816 "E2"
"370" 817 "E2"
"371" 817 "Both"
"372" 818 "Both"
"373" 819 "E2"
"374" 819 "Akt knockout"
"375" 819 "Both"
"376" 823 "E2"
"377" 823 "Both"
"378" 831 "Both"
"379" 832 "E2"
"380" 841 "E2"
"381" 843 "E2"
"382" 843 "Both"
"383" 844 "E2"
"384" 844 "Both"
"385" 850 "E2"
"386" 850 "Both"
"387" 852 "E2"
"388" 852 "Both"
"389" 856 "Akt knockout"
"390" 859 "Both"
"391" 863 "Akt knockout"
"392" 863 "Both"
"393" 864 "E2"
"394" 864 "Akt knockout"
"395" 868 "E2"
"396" 876 "Both"
"397" 878 "Akt knockout"
"398" 878 "Both"
"399" 881 "Both"
"400" 885 "Both"
"401" 886 "Both"
"402" 889 "E2"
"403" 889 "Akt knockout"
"404" 889 "Both"
"405" 891 "Akt knockout"
"406" 894 "Both"
"407" 895 "E2"
"408" 895 "Both"
"409" 897 "E2"
"410" 897 "Both"
"411" 898 "Both"
"412" 899 "E2"
"413" 899 "Both"
"414" 906 "E2"
"415" 906 "Akt knockout"
"416" 906 "Both"
"417" 912 "Akt knockout"
"418" 913 "E2"
"419" 913 "Both"
"420" 915 "E2"
"421" 915 "Both"
"422" 927 "E2"
"423" 928 "Both"
"424" 935 "Akt knockout"
"425" 939 "E2"
"426" 939 "Both"
"427" 942 "E2"
"428" 942 "Both"
"429" 946 "E2"
"430" 946 "Both"
"431" 955 "E2"
"432" 955 "Akt knockout"
"433" 959 "E2"
"434" 959 "Akt knockout"
"435" 959 "Both"
"436" 960 "Akt knockout"
"437" 962 "Akt knockout"
"438" 964 "E2"
"439" 964 "Akt knockout"
"440" 964 "Both"
"441" 965 "Both"
"442" 970 "E2"
"443" 970 "Akt knockout"
"444" 970 "Both"
"445" 971 "Both"
"446" 975 "E2"
"447" 975 "Both"
"448" 976 "E2"
"449" 976 "Akt knockout"
"450" 976 "Both"
"451" 978 "E2"
"452" 982 "E2"
"453" 982 "Both"
"454" 986 "E2"
"455" 986 "Akt knockout"
"456" 986 "Both"
"457" 998 "E2"
"458" 999 "Akt knockout"
"459" 999 "Both"
"460" 1013 "E2"
"461" 1013 "Both"
"462" 1015 "E2"
"463" 1022 "E2"
"464" 1022 "Akt knockout"
"465" 1022 "Both"
"466" 1025 "Akt knockout"
"467" 1026 "E2"
"468" 1026 "Both"
"469" 1029 "E2"
"470" 1029 "Both"
"471" 1034 "E2"
"472" 1034 "Akt knockout"
"473" 1037 "E2"
"474" 1037 "Akt knockout"
"475" 1051 "Akt knockout"
"476" 1052 "Akt knockout"
"477" 1053 "Akt knockout"
"478" 1054 "E2"
"479" 1054 "Akt knockout"
"480" 1054 "Both"
"481" 1056 "Akt knockout"
"482" 1060 "Both"
"483" 1062 "Akt knockout"
"484" 1074 "E2"
"485" 1074 "Both"
"486" 1079 "Akt knockout"
"487" 1079 "Both"
"488" 1080 "Both"
"489" 1082 "Akt knockout"
"490" 1086 "Both"
"491" 1088 "E2"
"492" 1088 "Both"
"493" 1089 "Akt knockout"
"494" 1089 "Both"
"495" 1091 "Akt knockout"
"496" 1092 "E2"
"497" 1092 "Both"
"498" 1103 "E2"
"499" 1104 "E2"
"500" 1104 "Both"
"501" 1105 "Both"
"502" 1110 "Akt knockout"
"503" 1118 "Akt knockout"
"504" 1122 "E2"
"505" 1125 "Both"
"506" 1129 "E2"
"507" 1130 "E2"
"508" 1130 "Both"
"509" 1131 "Both"
"510" 1132 "Akt knockout"
"511" 1133 "E2"
"512" 1135 "Akt knockout"
"513" 1135 "Both"
"514" 1137 "Both"
"515" 1138 "E2"
"516" 1138 "Both"
"517" 1146 "Akt knockout"
"518" 1147 "E2"
"519" 1147 "Both"
"520" 1150 "E2"
"521" 1150 "Both"
"522" 1151 "E2"
"523" 1151 "Both"
"524" 1153 "Both"
"525" 1154 "E2"
"526" 1154 "Both"
"527" 1156 "E2"
"528" 1156 "Akt knockout"
"529" 1156 "Both"
"530" 1164 "E2"
"531" 1164 "Akt knockout"
"532" 1169 "E2"
"533" 1169 "Both"
"534" 1170 "E2"
"535" 1170 "Both"
"536" 1171 "E2"
"537" 1171 "Both"
"538" 1175 "Akt knockout"
"539" 1176 "E2"
"540" 1176 "Both"
"541" 1186 "E2"
"542" 1195 "E2"
"543" 1195 "Akt knockout"
"544" 1195 "Both"
"545" 1196 "E2"
"546" 1196 "Akt knockout"
"547" 1196 "Both"
"548" 1200 "Both"
"549" 1202 "E2"
"550" 1202 "Akt knockout"
"551" 1202 "Both"
"552" 1207 "Both"
"553" 1208 "E2"
"554" 1208 "Both"
"555" 1209 "E2"
"556" 1209 "Akt knockout"
"557" 1212 "E2"
"558" 1212 "Akt knockout"
"559" 1212 "Both"
"560" 1217 "Akt knockout"
"561" 1217 "Both"
"562" 1221 "Both"
"563" 1222 "E2"
"564" 1223 "Akt knockout"
"565" 1224 "E2"
"566" 1225 "E2"
"567" 1225 "Both"
"568" 1231 "Akt knockout"
"569" 1233 "Akt knockout"
"570" 1237 "Akt knockout"
"571" 1239 "Both"
"572" 1241 "Both"
"573" 1247 "Both"
"574" 1255 "E2"
"575" 1255 "Both"
"576" 1261 "Both"
"577" 1262 "E2"
"578" 1262 "Both"
"579" 1263 "E2"
"580" 1263 "Akt knockout"
"581" 1263 "Both"
"582" 1264 "E2"
"583" 1264 "Both"
"584" 1265 "Akt knockout"
"585" 1265 "Both"
"586" 1269 "Akt knockout"
"587" 1270 "Akt knockout"
"588" 1271 "Both"
"589" 1278 "Akt knockout"
"590" 1280 "E2"
"591" 1287 "E2"
"592" 1287 "Akt knockout"
"593" 1287 "Both"
"594" 1292 "E2"
"595" 1292 "Akt knockout"
"596" 1292 "Both"
"597" 1300 "Akt knockout"
"598" 1304 "Akt knockout"
"599" 1305 "E2"
"600" 1305 "Both"
"601" 1306 "E2"
"602" 1306 "Akt knockout"
"603" 1307 "E2"
"604" 1307 "Both"
"605" 1308 "Both"
"606" 1309 "Akt knockout"
"607" 1315 "Both"
"608" 1316 "E2"
"609" 1318 "E2"
"610" 1319 "E2"
"611" 1319 "Both"
"612" 1324 "E2"
"613" 1324 "Both"
"614" 1329 "E2"
"615" 1329 "Akt knockout"
"616" 1329 "Both"
"617" 1330 "E2"
"618" 1330 "Akt knockout"
"619" 1331 "E2"
"620" 1331 "Akt knockout"
"621" 1333 "E2"
"622" 1333 "Akt knockout"
"623" 1334 "E2"
"624" 1334 "Both"
"625" 1337 "Both"
"626" 1338 "Akt knockout"
"627" 1339 "E2"
"628" 1341 "E2"
"629" 1342 "E2"
"630" 1342 "Akt knockout"
"631" 1342 "Both"
"632" 1348 "Akt knockout"
"633" 1349 "E2"
"634" 1356 "Akt knockout"
"635" 1356 "Both"
"636" 1361 "Akt knockout"
"637" 1361 "Both"
"638" 1362 "E2"
"639" 1362 "Both"
"640" 1363 "E2"
"641" 1363 "Akt knockout"
"642" 1363 "Both"
"643" 1366 "Both"
"644" 1367 "Both"
"645" 1371 "E2"
"646" 1371 "Akt knockout"
"647" 1371 "Both"
"648" 1374 "E2"
"649" 1374 "Both"
"650" 1375 "Akt knockout"
"651" 1375 "Both"
"652" 1378 "Akt knockout"
"653" 1380 "Both"
"654" 1381 "E2"
"655" 1383 "E2"
"656" 1385 "E2"
"657" 1385 "Both"
"658" 1387 "Akt knockout"
"659" 1387 "Both"
"660" 1389 "Both"
